"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"eMachines E732Z-A12B パワーアップ計画：その①
 https://t.co/115Jp5kZFw
 #eMachines #acer",FALSE,0,NA,2018-02-04 06:30:08,FALSE,NA,"960037738043998208",NA,"<a href=""http://www.yahoo.co.jp"" rel=""nofollow"">NewアプリFMY</a>","program_rider",0,FALSE,FALSE,NA,NA
"We made them slim so that you can sling it in your bag #GoWherever #Travel #Acer https://t.co/XLfveZDbSN",FALSE,0,NA,2018-02-04 05:21:39,FALSE,NA,"960020506568110080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SoorajB86",0,FALSE,FALSE,NA,NA
"Acer V246HLbd https://t.co/PIaDF0qNmL #Acer",FALSE,0,NA,2018-02-04 04:38:04,FALSE,NA,"960009535401447425",NA,"<a href=""http://apacelli.com/"" rel=""nofollow"">apacalli</a>","apatab",0,FALSE,FALSE,NA,NA
"RT @the_best_daily: 5% OFF, #sale #save #acer #laptop @amazon @acer Acer Chromebook 15 C910-3916 (15.6-inch Full HD IPS, Intel Core i3, 4GB…",FALSE,0,NA,2018-02-04 04:15:18,FALSE,NA,"960003807970291717",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vsarrulmozhy",2,TRUE,FALSE,NA,NA
"5% OFF, #sale #save #acer #laptop @amazon @acer Acer Chromebook 15 C910-3916 (15.6-inch Full HD IPS, Intel Core i3,… https://t.co/wzahmRuaPR",FALSE,0,NA,2018-02-04 04:15:13,TRUE,NA,"960003787007168512",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","daily_bdd2",0,FALSE,FALSE,NA,NA
"5% OFF, #sale #save #acer #laptop @amazon @acer Acer Chromebook 15 C910-3916 (15.6-inch Full HD IPS, Intel Core i3,… https://t.co/XkqyZ0pKGl",FALSE,0,NA,2018-02-04 04:15:08,TRUE,NA,"960003767595827200",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_offer",0,FALSE,FALSE,NA,NA
"eMachines E732Z-A12B パワーアップ計画：その③
 https://t.co/JRkokD5SVi
 #eMachines #acer",FALSE,0,NA,2018-02-04 04:15:07,FALSE,NA,"960003761396699136",NA,"<a href=""http://www.yahoo.co.jp"" rel=""nofollow"">NewアプリFMY</a>","PC_CamelRider",0,FALSE,FALSE,NA,NA
"5% OFF, #sale #save #acer #laptop @amazon @acer Acer Chromebook 15 C910-3916 (15.6-inch Full HD IPS, Intel Core i3,… https://t.co/MtDyu4tXKi",FALSE,2,NA,2018-02-04 04:15:06,TRUE,NA,"960003757479223297",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","the_best_daily",2,FALSE,FALSE,NA,NA
"#Acer aspire e5-553g-t5pb a10-9600p 8gb 1tb  ad Euro 559.99 in #Acer #Informatica pc e laptop https://t.co/gDVSLAsnbX",FALSE,1,NA,2018-02-04 04:04:21,FALSE,NA,"960001053189201920",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TuttOSuLinuX",0,FALSE,FALSE,NA,NA
"eMachines E732Z-A12B パワーアップ計画：その②
 https://t.co/xPKUXNQkAl
 #eMachines #acer",FALSE,0,NA,2018-02-04 04:00:07,FALSE,NA,"959999988561571840",NA,"<a href=""http://www.yahoo.co.jp"" rel=""nofollow"">NewアプリFMY</a>","PC_CamelRider",0,FALSE,FALSE,NA,NA
