"","score","text"
"1",1,"RT @C4ETech: Zenfone 3 is on Oreo! #Respect #Asus"
"2",-1,"RT @PokdeDotNet: [UNBOXING] ASUS ROG Strix GL503VS SCAR Edition Gaming Laptop #ASUS #Edition #Gaming #GeForce #GL503VS #GTX1070 https://t.c…"
"3",-1,"[UNBOXING] ASUS ROG Strix GL503VS SCAR Edition Gaming Laptop #ASUS #Edition #Gaming #GeForce #GL503VS #GTX1070 https://t.co/nAsLsGS3rt"
"4",-1,"[UNBOXING] ASUS ROG Strix GL503VS SCAR Edition Gaming Laptop #ASUS #Edition #Gaming #GeForce #GL503VS #GTX1070 https://t.co/wAk1ZcpkpM"
"5",0,"ツインアプリ機能でTwitterを試す。
マルチウインドウ機能を使い両方のTwitterを見ながら遊べます。
公式アプリで出来るのが良いですね。

#Zenfone4 #ASUS https://t.co/4q2aDRnO2t"
"6",0,"#aqua #turquoise #asus #blanco #futból #soccer #mydream #esfuerzo #entrenamiento #mejorar #nikeclothes #instapic #photosay #nfc"
"7",0,"ASUS N73JG (Core i3 380M 2530 Mhz/17.3""/1600x900/3072Mb/320Gb/DVD-RW/Wi-Fi/DOS) https://t.co/RvRO5oWmOV #ASUS"
"8",0,"ZenFone4、広角レンズの効果はテレビ塔などで比較すると非常によくわかります。

#ZenFone4 #ASUS #ZenFone4で撮影 #WeLovePhoto https://t.co/PpTEaTsU1w"
"9",0,"Te regalo 5 gigas de almacenamiento para que pruebes #ASUS #WebStorage, regístrate en el link… https://t.co/G3s21aP1wA"
"10",0,"ASUS MeMO Pad 7 LTE ( Android 4.4.2/7 inch/Atom Z3560/eMMC 16GB/2GB ) https://t.co/SGX9BlFATl  #タブレット #ASUS https://t.co/jZOYVS1lE9"
"11",-1,"New Listing! Asus Essentio CM6730 Desktop  Tower / Non-Working Hard Drive / Windows 10 #ASUS https://t.co/00QUiqX6Zm via @eBay"
"12",1,"RT @JaredRoweUSA: At the end of the day, I still love to build, upgrade and tweak my own systems. @intel #evga #corsair #asus #workingtoget…"
"13",0,"＼対象商品ポイント5倍！／
【#中古 お買い得品】#SIMフリー アンドロイドスマホが安い！#ASUS『#ZenFoneLive ZB501KL-PK16 16GB ローズピンク 国内版』が15,314円(税込)と期間限定でお値下… https://t.co/nmoHLDozjv"
"14",0,"Couché de soleil au lac ������ • • • #nofilter #sansfiltre #lac #lake #paysage #landscape #couchedesoleil #sunset… https://t.co/9EUOKdWPRz"
"15",1,"I bought my Asus F541U #Laptop #Computer yo replace my 4-yr old #Asus X54C, because I was happy with the old one...… https://t.co/c7YB0OZJC8"
"16",1,"I bought my Asus F541U #Laptop #Computer yo replace my 4-yr old #Asus X54C, because I was happy with the old one...… https://t.co/qIpArHeRxL"
"17",0,"Zenfone4カスタマイズモデルって、自分のZenfone3デラックス下位モデルよりカメラ以外同等以上なのか(ﾟДﾟ;)
売って買い換えても金額的に損しなさそう。 #ASUS #Zenfone4 #IIJmio #はてなブログ 
https://t.co/qigllqxTyy"
"18",0,"#Asus R558UQ-DM539D #Laptop Core #i5 7th Gen (4 GB/ 1 TB HDD/ DOS/ 2 GB Graphics/ 15.6 inch)
https://t.co/lowoBaZgGB"
"19",0,"#Asus #R558UR-DM069D #Laptop Core #i5 6th Gen (4 GB/ 1 TB HDD/ DOS/ 2 GB Graphics/ 15.6 inch)
https://t.co/bWZc8jipeE"
"20",0,"【#ASUS #Zenfone／#Zenfone3Ultra】
探してませんか？当店、在庫あります☺
生産終了品なので在庫限りです。
在庫確認は0466-54-9325までお願いします。
#湘南 #藤沢 #辻堂 #UQ #一括… https://t.co/C4WAzqC40g"
