"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @C4ETech: Zenfone 3 is on Oreo! #Respect #Asus",FALSE,0,NA,2018-02-04 06:18:35,FALSE,NA,"960034834990190592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YashasKM_11",34,TRUE,FALSE,NA,NA
"RT @PokdeDotNet: [UNBOXING] ASUS ROG Strix GL503VS SCAR Edition Gaming Laptop #ASUS #Edition #Gaming #GeForce #GL503VS #GTX1070 https://t.c…",FALSE,0,NA,2018-02-04 06:12:38,FALSE,NA,"960033337564803072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NassahDeys",1,TRUE,FALSE,NA,NA
"[UNBOXING] ASUS ROG Strix GL503VS SCAR Edition Gaming Laptop #ASUS #Edition #Gaming #GeForce #GL503VS #GTX1070 https://t.co/nAsLsGS3rt",FALSE,0,NA,2018-02-04 06:05:26,FALSE,NA,"960031525399154693",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","PokdeDotNet",1,FALSE,FALSE,NA,NA
"[UNBOXING] ASUS ROG Strix GL503VS SCAR Edition Gaming Laptop #ASUS #Edition #Gaming #GeForce #GL503VS #GTX1070 https://t.co/wAk1ZcpkpM",FALSE,0,NA,2018-02-04 06:05:06,FALSE,NA,"960031441076834304",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","shahzisme",0,FALSE,FALSE,NA,NA
"ツインアプリ機能でTwitterを試す。
マルチウインドウ機能を使い両方のTwitterを見ながら遊べます。
公式アプリで出来るのが良いですね。

#Zenfone4 #ASUS https://t.co/4q2aDRnO2t",FALSE,0,NA,2018-02-04 06:01:55,FALSE,NA,"960030638089777153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mobile_gadget03",0,FALSE,FALSE,NA,NA
"#aqua #turquoise #asus #blanco #futból #soccer #mydream #esfuerzo #entrenamiento #mejorar #nikeclothes #instapic #photosay #nfc",FALSE,0,NA,2018-02-04 06:00:30,FALSE,NA,"960030283235028992",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AmazoPhones",0,FALSE,FALSE,NA,NA
"ASUS N73JG (Core i3 380M 2530 Mhz/17.3""/1600x900/3072Mb/320Gb/DVD-RW/Wi-Fi/DOS) https://t.co/RvRO5oWmOV #ASUS",FALSE,0,NA,2018-02-04 05:58:02,FALSE,NA,"960029660414398464",NA,"<a href=""http://apacelli.com/"" rel=""nofollow"">apacalli</a>","apatab",0,FALSE,FALSE,NA,NA
"ZenFone4、広角レンズの効果はテレビ塔などで比較すると非常によくわかります。

#ZenFone4 #ASUS #ZenFone4で撮影 #WeLovePhoto https://t.co/PpTEaTsU1w",FALSE,0,NA,2018-02-04 05:57:13,FALSE,NA,"960029454830526465",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mobile_gadget03",0,FALSE,FALSE,NA,NA
"Te regalo 5 gigas de almacenamiento para que pruebes #ASUS #WebStorage, regístrate en el link… https://t.co/G3s21aP1wA",FALSE,0,NA,2018-02-04 05:45:30,TRUE,NA,"960026508088705024",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Man3And",0,FALSE,FALSE,NA,NA
"ASUS MeMO Pad 7 LTE ( Android 4.4.2/7 inch/Atom Z3560/eMMC 16GB/2GB ) https://t.co/SGX9BlFATl  #タブレット #ASUS https://t.co/jZOYVS1lE9",FALSE,0,NA,2018-02-04 05:45:10,FALSE,NA,"960026424756396037",NA,"<a href=""http://www.yahoo.co.jp"" rel=""nofollow"">NewアプリFMY</a>","PC_CamelRider",0,FALSE,FALSE,NA,NA
"New Listing! Asus Essentio CM6730 Desktop  Tower / Non-Working Hard Drive / Windows 10 #ASUS https://t.co/00QUiqX6Zm via @eBay",FALSE,0,NA,2018-02-04 05:45:02,FALSE,NA,"960026391055015936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DazzleBedding",0,FALSE,FALSE,NA,NA
"RT @JaredRoweUSA: At the end of the day, I still love to build, upgrade and tweak my own systems. @intel #evga #corsair #asus #workingtoget…",FALSE,0,NA,2018-02-04 05:27:44,FALSE,NA,"960022037837135872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RockPaperMoon",1,TRUE,FALSE,NA,NA
"＼対象商品ポイント5倍！／
【#中古 お買い得品】#SIMフリー アンドロイドスマホが安い！#ASUS『#ZenFoneLive ZB501KL-PK16 16GB ローズピンク 国内版』が15,314円(税込)と期間限定でお値下… https://t.co/nmoHLDozjv",FALSE,0,NA,2018-02-04 05:21:00,TRUE,NA,"960020339899056129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sofmaprakuten",0,FALSE,FALSE,NA,NA
"Couché de soleil au lac ������ • • • #nofilter #sansfiltre #lac #lake #paysage #landscape #couchedesoleil #sunset… https://t.co/9EUOKdWPRz",FALSE,0,NA,2018-02-04 05:19:07,TRUE,NA,"960019867872018432",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","GeoBalad",0,FALSE,FALSE,NA,NA
"I bought my Asus F541U #Laptop #Computer yo replace my 4-yr old #Asus X54C, because I was happy with the old one...… https://t.co/c7YB0OZJC8",FALSE,0,NA,2018-02-04 05:17:21,TRUE,NA,"960019423913566209",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","Megan_and_Grrr",0,FALSE,FALSE,NA,NA
"I bought my Asus F541U #Laptop #Computer yo replace my 4-yr old #Asus X54C, because I was happy with the old one...… https://t.co/qIpArHeRxL",FALSE,1,NA,2018-02-04 05:16:27,TRUE,NA,"960019197517553664",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","lekwilliams",0,FALSE,FALSE,NA,NA
"Zenfone4カスタマイズモデルって、自分のZenfone3デラックス下位モデルよりカメラ以外同等以上なのか(ﾟДﾟ;)
売って買い換えても金額的に損しなさそう。 #ASUS #Zenfone4 #IIJmio #はてなブログ 
https://t.co/qigllqxTyy",FALSE,0,NA,2018-02-04 05:13:43,FALSE,NA,"960018507759984641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mobconsa106",0,FALSE,FALSE,NA,NA
"#Asus R558UQ-DM539D #Laptop Core #i5 7th Gen (4 GB/ 1 TB HDD/ DOS/ 2 GB Graphics/ 15.6 inch)
https://t.co/lowoBaZgGB",FALSE,0,NA,2018-02-04 05:13:26,FALSE,NA,"960018438805532674",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","comparetrap",0,FALSE,FALSE,NA,NA
"#Asus #R558UR-DM069D #Laptop Core #i5 6th Gen (4 GB/ 1 TB HDD/ DOS/ 2 GB Graphics/ 15.6 inch)
https://t.co/bWZc8jipeE",FALSE,0,NA,2018-02-04 05:13:19,FALSE,NA,"960018409986539522",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","comparetrap",0,FALSE,FALSE,NA,NA
"【#ASUS #Zenfone／#Zenfone3Ultra】
探してませんか？当店、在庫あります☺
生産終了品なので在庫限りです。
在庫確認は0466-54-9325までお願いします。
#湘南 #藤沢 #辻堂 #UQ #一括… https://t.co/C4WAzqC40g",FALSE,0,NA,2018-02-04 05:13:17,TRUE,NA,"960018398976425984",NA,"<a href=""http://twirobo.com/"" rel=""nofollow"">twiroboJP</a>","uq_shounan",0,FALSE,FALSE,NA,NA
"-13% para #ASUS GL553VD-DM254T - #ordenador #portatil de 15.6"" Full HD... ������ https://t.co/CUPYTyvvVj ahora por 869€.… https://t.co/RfLSQFpLhg",FALSE,0,NA,2018-02-04 05:11:33,TRUE,NA,"960017963872120832",NA,"<a href=""https://initbee.com"" rel=""nofollow"">Initbee Community Manager</a>","Cupoteca_ES",0,FALSE,FALSE,NA,NA
"At the end of the day, I still love to build, upgrade and tweak my own systems. @intel #evga #corsair #asus… https://t.co/FY7GpHAGQc",FALSE,2,NA,2018-02-04 05:09:59,TRUE,NA,"960017569703800832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaredRoweUSA",1,FALSE,FALSE,NA,NA
"RT @Jupiter707: #WIN AN #ASUS #ROG #GAMING #MONITOR #GIVEAWAY

Follow @AthleticoES &amp; RT to Enter

@HyperRTs #csgogiveaways #csgogiveaway ht…",FALSE,0,NA,2018-02-04 05:05:36,FALSE,NA,"960016468233646080",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">XG18</a>","FranGF23",1,TRUE,FALSE,NA,NA
"#WIN AN #ASUS #ROG #GAMING #MONITOR #GIVEAWAY

Follow @AthleticoES &amp; RT to Enter

@HyperRTs #csgogiveaways… https://t.co/4R8ZDaIDYB",FALSE,0,NA,2018-02-04 04:55:17,TRUE,NA,"960013869421703169",NA,"<a href=""https://gleam.io"" rel=""nofollow"">Gleam Competition App</a>","Jupiter707",1,FALSE,FALSE,NA,NA
"Te regalo 5 gigas de almacenamiento para que pruebes #ASUS #WebStorage, regístrate en el link… https://t.co/YHj1eFfuMD",FALSE,0,NA,2018-02-04 04:45:28,TRUE,NA,"960011397810806784",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Man3And",0,FALSE,FALSE,NA,NA
"RT @expresstechie: #Asus ZenFone 5 with 18:9 display, dual cameras to launch at #MWC2018 
https://t.co/EJCpgFe0Fn",FALSE,0,NA,2018-02-04 04:41:11,FALSE,NA,"960010323670552578",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IndianExpress",2,TRUE,FALSE,NA,NA
"Happy Sunday everyone!
.
#ciktimm #fatimahnabiladotcom 
#asus #asusselfie 
#blogger #bloggerutara https://t.co/dyPwdAyGum",FALSE,1,NA,2018-02-04 04:40:22,FALSE,NA,"960010114857164800",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","timm_bill",0,FALSE,FALSE,NA,NA
"#Asus ZenFone 5 with 18:9 display, dual cameras to launch at #MWC2018 
https://t.co/EJCpgFe0Fn",FALSE,4,NA,2018-02-04 04:40:10,FALSE,NA,"960010067784421376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","expresstechie",2,FALSE,FALSE,NA,NA
"#ASUS expensive piece of cheap hardware ������",FALSE,0,NA,2018-02-04 04:35:39,FALSE,NA,"960008927902445568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chuabols",0,FALSE,FALSE,NA,NA
"RT @ShakweelO: #WIN AN #ASUS #ROG #GAMING #MONITOR #GIVEAWAY

Follow @AthleticoES &amp; RT to Enter

@HyperRTs #csgogiveaways #csgogiveaway htt…",FALSE,0,NA,2018-02-04 04:24:57,FALSE,NA,"960006236644179969",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">XG18</a>","FranGF23",1,TRUE,FALSE,NA,NA
"RT @C4ETech: Zenfone 3 is on Oreo! #Respect #Asus",FALSE,0,NA,2018-02-04 04:15:00,FALSE,NA,"960003730534932480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krishna_thee",34,TRUE,FALSE,NA,NA
"#WIN AN #ASUS #ROG #GAMING #MONITOR #GIVEAWAY

Follow @AthleticoES &amp; RT to Enter

@HyperRTs #csgogiveaways… https://t.co/I1rrIHM6Eb",FALSE,0,NA,2018-02-04 04:09:56,TRUE,NA,"960002457374900224",NA,"<a href=""https://gleam.io"" rel=""nofollow"">Gleam Competition App</a>","ShakweelO",1,FALSE,FALSE,NA,NA
"RT @jasiddal: #WIN AN #ASUS #ROG #GAMING #MONITOR #GIVEAWAY

Follow @AthleticoES &amp; RT to Enter

@HyperRTs #csgogiveaways #csgogiveaway http…",FALSE,0,NA,2018-02-04 04:02:48,FALSE,NA,"960000661420150784",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">XG18</a>","FranGF23",3,TRUE,FALSE,NA,NA
"RT @ASUS_ROGUK: We're a huge fan (heh) of these build pics from @CameronJLBuchan!

#asus #rog #tech #techporn… https://t.co/6UqxFQBmYr",FALSE,0,NA,2018-02-04 04:01:27,FALSE,NA,"960000322771992576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gamer16_YT",2,TRUE,FALSE,NA,NA
"RT @ASUS_ROGUK: Desk PCs ������
������ /u/AlexPilot

#asus #rog #tech #techporn #battlestation #desksetup #gamingpc… https://t.co/1gNRgdZYNv",FALSE,0,NA,2018-02-04 04:01:13,FALSE,NA,"960000264999546882",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gamer16_YT",4,TRUE,FALSE,NA,NA
"RT @jasiddal: #WIN AN #ASUS #ROG #GAMING #MONITOR #GIVEAWAY

Follow @AthleticoES &amp; RT to Enter

@HyperRTs #csgogiveaways #csgogiveaway http…",FALSE,0,NA,2018-02-04 03:57:02,FALSE,NA,"959999211243692032",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">DickDrizzle</a>","RichardDrizzle",3,TRUE,FALSE,NA,NA
"RT @PokdeDotNet: Second smartphone from ASUS with an 18:9 display...

#ASUS #ZenFone5 #Backto5 #5 #Android #Oreo #Smartphone https://t.co/w…",FALSE,0,NA,2018-02-04 03:53:31,FALSE,NA,"959998324987211776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NassahDeys",1,TRUE,FALSE,NA,NA
"Te regalo 5 gigas de almacenamiento para que pruebes #ASUS #WebStorage, regístrate en el link… https://t.co/zVVZr1TYWm",FALSE,0,NA,2018-02-04 03:45:04,TRUE,NA,"959996200614268928",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Man3And",0,FALSE,FALSE,NA,NA
"RT @Aliff_Azahari: #WIN AN #ASUS #ROG #GAMING #MONITOR #GIVEAWAY

Follow @AthleticoES &amp; RT to Enter

@HyperRTs #csgogiveaways #csgogiveaway…",FALSE,0,NA,2018-02-04 03:28:41,FALSE,NA,"959992077349244928",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">XG18</a>","FranGF23",1,TRUE,FALSE,NA,NA
